"","variable","cor_coef","p_value"
"1","absorption_rate_dw ",0.876727867434208,2.63733855025574e-127
"2","absorption_efficiency_dw ",-0.714278943961036,4.82701014208417e-63
"3","growth_rate ",0.898770447769769,3.58611007218898e-143
"4","growth_efficiency_fw ",-0.216493686414443,1.38514783639958e-05
"5","absorption C",-0.805220522052205,5.68301806493662e-24
"6","absorption N",-0.85951395139514,2.53537865950277e-30
"7","absorption P",-0.773393339333934,4.10919487772169e-21
"8","absorption Na",-0.622133389438249,8.04328561932941e-12
"9","absorption Mg",-0.844452445244524,2.54516178298308e-28
"10","absorption S",-0.76972097209721,8.19874180747481e-21
"11","absorption K",-0.764332433243324,2.20815407809398e-20
"12","absorption Ca",-0.637599759975998,9.79396807571681e-13
"13","larvae C",0.698284617990976,1.01649960790811e-14
"14","larvae N",-0.565412440023515,4.30018614493092e-09
"15","larvae P",-0.873203313242388,1.81214417926015e-30
"16","larvae Na",-0.822622017247782,2.77278403821522e-24
"17","larvae Mg",-0.199606956628997,0.0537525202447569
"18","larvae S",-0.69695294872743,6.09779150611923e-15
"19","larvae K",-0.350272730556659,0.000538359109246678
"20","larvae Ca",-0.518803512787994,8.47238751229004e-08
"21","frass C",0.395455573701301,4.65863946579016e-05
"22","frass N",0.702536689697272,3.76846783868014e-16
"23","frass P",0.393268405735594,5.17475092997072e-05
"24","frass Na",0.441849567275023,5.24724086124465e-06
"25","frass Mg",0.68560112845526,3.56396236906767e-15
"26","frass S",0.469246186662306,8.4524638630999e-07
"27","frass K",0.715071797623421,6.43696481817174e-17
"28","frass Ca",0.0562029691843673,0.578619122521326
